what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1287479971578
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1287479971578
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1287479971578
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1287479971578
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1287479971578
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1287479971578
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1287479971578
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1287479971578
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1287479971578
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1287479971578
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1287479971578
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1287479971578
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1287479971578
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1287479971578
started,bundle,org.eclipse.core.resources.semantic,0.3.0.v20100506-0936,"org.eclipse.core.resources.semantic",1287479971578
started,bundle,org.eclipse.e4.ui.css.swt,0.9.1.v20100726-2030,"org.eclipse.e4.ui.css.swt",1287479971578
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.9.0.v20100723-1830,"org.eclipse.e4.ui.css.swt.theme",1287479971578
started,bundle,org.eclipse.ui.resources.semantic,0.1.0.v20100506-0936,"org.eclipse.ui.resources.semantic",1287479971578
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1287479971578
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1287479971578
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1287479971578
started,bundle,org.eclipse.jdt.core,3.6.0.xx-20100811-1700-e36,"org.eclipse.jdt.core",1287479971578
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1287479971578
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1287479971578
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1287479971578
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1287479971578
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1287479971578
started,bundle,org.eclipse.egit.core,0.8.4,"org.eclipse.egit.core",1287479971578
started,bundle,org.eclipse.egit.ui,0.8.4,"org.eclipse.egit.ui",1287479971578
started,bundle,org.eclipse.jgit,0.8.4,"org.eclipse.jgit",1287479971578
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.1.e36x-20100831-1400,"org.eclipse.contribution.weaving.jdt",1287479971578
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.v20100503,"org.eclipse.equinox.weaving.aspectj",1287479971578
started,bundle,org.scala-ide.sdt.aspects,1.0.0.201009010421,"org.scala-ide.sdt.aspects",1287479971578
started,bundle,org.scala-ide.sdt.core,1.0.0.201009010421,"org.scala-ide.sdt.core",1287479971578
os,sysinfo,,,"win32",1287479971578
arch,sysinfo,,,"x86",1287479971578
ws,sysinfo,,,"win32",1287479971578
locale,sysinfo,,,"de_DE",1287479971578
processors,sysinfo,,,"2",1287479971578
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1287479971578
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1287479971578
java.specification.name,sysinfo,,,"Java Platform API Specification",1287479971578
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287479971578
java.specification.version,sysinfo,,,"1.6",1287479971578
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1287479971578
java.version,sysinfo,,,"1.6.0_22",1287479971578
java.vm.info,sysinfo,,,"mixed mode, sharing",1287479971578
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1287479971578
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287479971578
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287479971578
java.vm.specification.version,sysinfo,,,"1.0",1287479971578
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1287479971578
java.vm.version,sysinfo,,,"17.1-b03",1287479971578
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1287479972593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287479973171
